This chart shows expert ratings of over 1700 Chocolate Bars,,,,,,,,,
"Among the criteria are review date, cocoa percent, and the type of cocoa bean in the chocolate bar",,,,,,,,,
Data retrieved from kaggle.com,,,,,,,,,
"CompanyX 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent",Column,"Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
A. Morin,Agua Grande,1876,"September, 2016",63%,,  France   ,3.75,X ,Sao Tome
A. Morin,Kpime,1676,"July, 2015",70%,, France,2.75,X ,Togo
A. Morin,Atsane,1676,"July, 2015",70%,, France,3,X ,Togo
A. Morin,Akata,1680,"July, 2015",70%,, France,3.5,X ,Togo
A. Morin,Quilla,1704,"July, 2015",70%,, France,3.5,X ,Peru
A. Morin,Carenero,1315,"December, 2014",70%,, France,2.75,Criollo,Venezuela
A. Morin,Cuba,1315,"December, 2014",70%,, France,3.5,X ,Cuba
A. Morin,Sur del Lago,1315,"December, 2014",70%,, France,3.5,Criollo,Venezuela
A. Morin,Puerto Cabello,1319,"December, 2014",70%,, France,3.75,Criollo,Venezuela
A. Morin,Pablino,1319,"December, 2014",70%,, France,4,X ,Peru
A. Morin,Panama,1011,"May, 2013",70%,, France,2.75,X ,Panama
A. Morin,Madagascar,1011,"May, 2013",70%,, France  ,3,Criollo,Madagascar
A. Morin,Brazil,1011,"May, 2013",70%,, France,3.25,X ,Brazil
A. Morin,Equateur,1011,"May, 2013",70%,,  France ,3.75,X ,Ecuador
A. Morin,Colombie,1015,"May, 2013",70%,, France,2.75,X ,Colombia
A. Morin,Birmanie,1015,"May, 2013",70%,, France,3,X ,Burma
A. Morin,Papua New Guinea,1015,"May, 2013",70%,, France,3.25,X ,Papua New Guinea
A. Morin,Chuao,1015,"May, 2013",70%,, France,4,Trinitario,Venezuela
A. Morin,Piura,1019,"May, 2013",70%,, France,3.25,X ,Peru
A. Morin,Chanchamayo Province,1019,"May, 2013",70%,, France,3.5,X ,Peru
A. Morin,Chanchamayo Province,1019,"May, 2013",63%,, France,4,X ,Peru
A. Morin,Bolivia,797,"January, 2012",70%,, France,3.5,X ,Bolivia
A. Morin,Peru,797,"January, 2012",63%,, France,3.75,X ,Peru
Acalli,"Chulucanas, El Platanal",1462,"July, 2015",70%,,U.S.A.,3.75,X ,Peru
Acalli,"Tumbes, Norandino",1470,"July, 2015",70%,,U.S.A,3.75,Criollo,Peru
Adi,Vanua Levu,705,"October, 2011",60%,,Fiji,2.75,Trinitario,Fiji
Adi,"Vanua Levu, Toto-A",705,"October, 2011",80%,,Fiji,3.25,Trinitario,Fiji
Adi,Vanua Levu,705,"October, 2011",88%,,Fiji,3.5,Trinitario,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",705,"October, 2011",72%,,Fiji,3.5,Trinitario,Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,"February, 2009",55%,,ecuador,2.75,Forastero (Arriba),Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,"February, 2009",70%,,Ecuador,3,Forastero (Arriba),Ecuador
Ah Cacao,Tabasco,316,"February, 2009",70%,,Mexico,3,Criollo,Mexico
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,"October, 2011",75%,,switzerland,3.75,Trinitario,Indonesia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,"May, 2010",75%,,Switzerland,2.75,Criollo,Madagascar
Akesson's (Pralus),"Monte Alegre, D. Badero",508,"May, 2010",75%,,SwitzerLand,2.75,Forastero,Brazil
Alain Ducasse,Trinite,1215,"December, 2014",65%,, France,2.75,Trinitario,Trinidad
Alain Ducasse,Vietnam,1215,"December, 2014",75%,, France,2.75,Trinitario,Vietnam
Alain Ducasse,Madagascar,1215,"December, 2014",75%,,  France   ,3,Trinitario,Madagascar
Alain Ducasse,Chuao,1061,"May, 2013",75%,, France,2.5,Trinitario,Venezuela
Alain Ducasse,"Piura, Perou",1173,"May, 2013",75%,, France,2.5,X ,Peru
Alexandre,"Winak Coop, Napo",1944,"March, 2017",70%,,Netherlands,3.5,Forastero (Nacional),Ecuador
Alexandre,"La Dalia, Matagalpa",1944,"March, 2017",70%,,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
Alexandre,Tien Giang,1944,"March, 2017",70%,,Netherlands,3.5,Trinitario,Vietnam
Alexandre,"Makwale Village, Kyela",1944,"March, 2017",70%,,Netherlands,3.5,Forastero,Tanzania
Altus aka Cao Artisan,Momotombo,1728,"September, 2016",60%,,U.S.A,2.75,X ,Nicaragua
Altus aka Cao Artisan,Acopagro,1728,"September, 2016",60%,,U.S.A.,3,X ,Peru
Altus aka Cao Artisan,CIAAB Coop,1732,"September, 2016",60%,,U.S.A.,2.5,X ,Bolivia
Altus aka Cao Artisan,Villa Andina,1732,"September, 2016",60%,,usa,2.5,X ,Peru
Altus aka Cao Artisan,Gruppo Salinas,1732,"September, 2016",60%,,U.S.A.,2.75,X ,Ecuador
Altus aka Cao Artisan,Sur del Lago,1125,"May, 2013",60%,,U.S.A.,2.5,X ,Venezuela
Altus aka Cao Artisan,Conacado,1125,"May, 2013",60%,,U.S.A,3,Trinitario,Dominican Republic
Altus aka Cao Artisan,Bolivia,1129,"May, 2013",80%,,U.S.A.,3.25,X ,Bolivia
Altus aka Cao Artisan,Bolivia,1133,"May, 2013",60%,,U.S.A.,3,X ,Bolivia
Altus aka Cao Artisan,Peru,1133,"May, 2013",60%,,U.S.A.,3.25,X ,Peru
Amano,Morobe,725,"October, 2011",70%,,U.S.A,4,X ,Papua New Guinea
Amano,Dos Rios,470,"May, 2010",70%,,U.S.A.,3.75,X ,Dominican Republic
Amano,Guayas,470,"May, 2010",70%,,U.S.A,4,X ,Ecuador
Amano,Chuao,544,"May, 2010",70%,,U.S..,3,Trinitario,Venezuela
Amano,Montanya,363,"February, 2009",70%,,U.S.A,3,X ,Venezuela
